,0,1
398,"('Non Veg Royal Platter', 'Peanut chaat')",0
399,"('Non Veg Royal Platter', 'Mutton Curry [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
400,"('Non Veg Royal Platter', 'Keema Kaleji')",0
401,"('Non Veg Royal Platter', 'Chicken Home Style [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
402,"('Non Veg Royal Platter', 'Egg Curry [2 Egg] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
403,"('Non Veg Royal Platter', 'Dal Tadka with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
404,"('Non Veg Royal Platter', 'Panner Butter Masala with 3 Whole Wheat Tandoori Roti [Serves 1')",0
405,"('Non Veg Royal Platter', 'Chicken Curry [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
406,"('Non Veg Royal Platter', 'Chicken Rara [8 Piece]')",0
407,"('Non Veg Royal Platter', 'Veg Chilly Garlic Noodles')",0
408,"('Non Veg Royal Platter', 'Sev Tamatar with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
409,"('Non Veg Royal Platter', 'Mutton Home Style [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
410,"('Non Veg Royal Platter', 'Paneer Lababdaar')",0
411,"('Chicken Platter', 'Chole Bathure')",0
412,"('Chicken Platter', 'Chole Kulche Amritsari')",0
413,"('Chicken Platter', 'Paneer Garlic Tikka')",0
414,"('Chicken Platter', 'Paneer Pahadi Tikka')",0
415,"('Chicken Platter', 'Paneer Pudina Tikka')",0
416,"('Chicken Platter', 'Paneer Tikka Full')",0
417,"('Chicken Platter', 'Veg Seekh Kabab')",0
418,"('Chicken Platter', 'Corn Cheese Kabab')",0
419,"('Chicken Platter', 'Dal Fry')",0
420,"('Chicken Platter', 'Dal Makhani')",0
421,"('Chicken Platter', 'Sev Tamater')",0
